nama_perusahaan,title,lokasi,tipe_pekerjaan,gaji,pendidikan
Ivosights,"Business Development Officer","Jalan Tebet Barat I, Tebet Barat Kel., Tebet","Full time",,"Bachelor's Degree"
"Aleph Labs","IT Operation (Contract Based)","Centennial Tower, Jalan Jenderal Gatot Subroto, Jakarta Selatan 12930, Indonesia",Contractual,,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Recovery Officer Collection WO Branch Malang","BFI Finance KC Malang Kota - Jl. Tumenggung Suryo No. 42, Bunulrejo, Kec. Blimbing, Kota Malang https://maps.app.goo.gl/7h9TKZ4ZiywiKxDt9","Full time",IDR,"Bachelor's Degree"
Algoritma,"Event & Partnership Intern",,Contractual,IDR,"Bachelor's Degree"
"commsult Indonesia","Senior Web Developer","Lengkong Gudang Kel., Serpong","Full time",,"Bachelor's Degree"
"Rakamin Academy","Product Engineer Backend","Kantorkuu Coworking Dan Office Space Agro, Jalan Yasmin Raya, RT06/RW04, Kuningan Timur Kel., Setia Budi, Jakarta Selatan, 12950, Indonesia","Full time",IDR,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Management Trainee Human Capital","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Bachelor's Degree"
"Nomura Research Institute Indonesia","Test Engineer","Sahid Sudirman Center, Jakarta Pusat 10220, Indonesia","Full time",IDR,"Bachelor's Degree"
"PT. Bukuku Solusi Kreatif","IT Manager","Komplek Meruya Indah","Full time",IDR,"Bachelor's Degree"
"Permata Bank","Mortgage Sales Specialist","DKI Jakarta, Indonesia","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Management Trainee Cabang Sulawesi Tenggara","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Technology Support Availability Service","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Bachelor's Degree"
