pt,title,lokasi,is_urgent,gaji,pendidikan,level,link,tipe_pekerjaan,description,post_date
"PT BPR Kredit Mandiri Indonesia","STAFF ACCOUNTING ",Tangerang,false,LABEL_COMPETITIVE_SALARY,"[""S1""]","Pemula / Staf",https://karir.com//opportunities/1394711,"Tidak Disebutkan","<p><ul><li>USIA MAX 28THN</li><li>PENDIDIKAN MIN S1-AKUNTANSI</li><li>PENGALAMAN MIN 1 TAHUN
</li><li>MAMPU MENGOPERASIKAN DAN MENGERTI MS OFFICE
</li><li>MENGUASAI SYSTEM PELAPORAN APLIKASI PERPAJAKAN (E-SPT, UNIFIKASI, E-FAKTUR DAN E-BILLING)
</li><li>MENGERTI PERPAJAKAN UNTUK PPH 21, PPH 23, PPH 4(2), PPH 25 DAN PPN
</li><li>DAPAT BEKERJA DALAM TEAM WORK
</li><li>DAPAT BEKERJA DALAM TEKANAN DAN TENGGAT WAKTU</li></ul></p>",2024-04-18T02:06:49.840682Z
"PT Handal Guna Sarana","Staff Gudang","Prov. DKI-Jakarta",false,LABEL_COMPETITIVE_SALARY,"[""S1"",""D3"",""SMA"",""Apa Saja""]","Pemula / Staf",https://karir.com//opportunities/1394687,"Tidak Disebutkan","<p><ul><li>Pendidikan minimal SMK/SMA</li><li>Usia maksimal 30 tahun</li><li>Memiliki pengalaman kerja posisi yang sama (lebih disukai)</li><li>Memiliki komunikasi yang baik.</li><li>Bersedia ditempatkan sesuai kebutuhan perusahaan</li></ul></p><br>",2024-04-17T02:54:26.114847Z
"KRESNA GROUP","Regulatory Affairs Staff","Jakarta Pusat",false,LABEL_COMPETITIVE_SALARY,"[""S1""]","Pemula / Staf",https://karir.com//opportunities/1394679,"Tidak Disebutkan","<p><ul><li>Usia maks. 30 tahun
</li><li>Pendidikan min. D3/S1 Pertanian/Agroteknologi/Agribisnis
</li><li>Pengalaman min. 2 tahun diindustri pertanian
</li><li>Menguasai MS Office
</li><li>Memiliki kemampuan analisa yang baik
</li><li>Memiliki pengetahuan dalam registrasi produk pada instansi pemerintah terkait
</li><li>Dapat berkomunikasi dengan baik serta cekatan
</li><li>Dapat bekerja secara tim maupun individual
</li><li>Familiar dengan sistem OSS
</li><li>Memahami dan menguasai ISO 14001:2015, 9001:2015</li></ul></p>",2024-04-17T01:55:37.821124Z
"PT Sinarmulia Sukses Makmur","IT Staff","Jakarta Selatan",false,LABEL_COMPETITIVE_SALARY,"[""SMA""]","Pemula / Staf",https://karir.com//opportunities/1374576,"Tidak Disebutkan","<div data-pasted=""1"">
<ul>
<li>Pria/ Wanita</li>
<li>Usia maksimal 28th</li>
<li>Pendidikan Minimal SMK sederajat</li>
<li>Pengalaman Minimal Mampu Microsoft Office</li>
<li>Sallary Negotiable</li>
<li>Lebih disukai jika punya pengalaman Mengurusi E-Commerce</li>
<li>Menguasai Wordpress dan Woocommerce</li>
<li>Menguasai html, css dan php</li>
<li>Familiar dengan website</li>
</ul>
</div>",2024-04-16T10:08:58.688561Z
"PT Gunta Samba Jaya","Staff Accounting","Prov. DKI-Jakarta",false,LABEL_COMPETITIVE_SALARY,"[""S1""]","Pemula / Staf",https://karir.com//opportunities/1358431,"Tidak Disebutkan","<p>Pendidikan dan kompetensi :  
</p><p>•	Minimal DIII atau S1 Akuntansi 
</p><p>•	Memahami prinsip akuntansi dasar
</p><p>•	Menyukai keteraturan, kerapihan dan akurat
</p><p>•	Dapat bekerja sama dengan rekan yang lain, dan tahan terhadap tekanan 
</p><p>•	Memahami (familiar) dengan program MS Office terutama Excell (Spread sheet) akan banyak membantu.
</p><p>Bersedia dinas ke wilayah operasional perusahaan</p><br>",2024-04-16T04:31:55.711385Z
"Tomato Online","Sales  & Marketing Staff","Jakarta Barat",false,LABEL_COMPETITIVE_SALARY,"[""SMA""]","Pemula / Staf",https://karir.com//opportunities/1394276,"Tidak Disebutkan","<ul><li>Pria usia maksimal 35 Tahun</li><li>Pendidikan min SMA dari segala jurusan&nbsp;</li><li>Mempunyai pengalaman min 1 tahun di bidang pemasaran consumer good</li><li>Memiliki kemampuan negosiasi yang baik</li><li>Menyukai tantangan baru &amp; dunia baru</li><li>Berkepribadian aktif, dinamis, kompetitif &amp; mau berkembang</li><li>Dapat bekerjasama dalam tim maupun individu</li><li>Mampu mengoperasikan MS Office</li><li>Mempunyai semangat yang tinggi dan berorientasi pada hasil untuk berkembang bersama kami</li><li>Bersedia di tempatkan di Cengkareng, Jakarta Barat</li></ul>",2024-04-16T02:20:00Z
"PT Shelter Nusantara","STAFF GENERAL AFFAIR",Surabaya,false,LABEL_COMPETITIVE_SALARY,"[""S1""]","Pemula / Staf",https://karir.com//opportunities/1394676,"Tidak Disebutkan","<p>- Laki – laki / Perempuan usia max 40 tahun
</p><p>- Pendidikan minimal S1 semua jurusan
</p><p>- Menguasai Microsoft Excel
</p><p>- Memahami proses end to end recruitment dan bisa mengoperasikan alat tes psikologi
</p><p>- Pengalaman min. 1 tahun di bidang yang sama
</p><p>- Jujur dan memiliki Inisiatif tinggi.
</p><p>Lokasi : Surabaya
</p><p><br></p>
",2024-04-16T08:33:02.833547Z
"PT Sinarmulia Sukses Makmur","IT Staff","Jakarta Selatan",false,LABEL_COMPETITIVE_SALARY,"[""SMA""]","Pemula / Staf",https://karir.com//opportunities/1374576,"Tidak Disebutkan","<div data-pasted=""1"">
<ul>
<li>Pria/ Wanita</li>
<li>Usia maksimal 28th</li>
<li>Pendidikan Minimal SMK sederajat</li>
<li>Pengalaman Minimal Mampu Microsoft Office</li>
<li>Sallary Negotiable</li>
<li>Lebih disukai jika punya pengalaman Mengurusi E-Commerce</li>
<li>Menguasai Wordpress dan Woocommerce</li>
<li>Menguasai html, css dan php</li>
<li>Familiar dengan website</li>
</ul>
</div>",2024-04-16T10:08:58.688561Z
"PT Graha Esa","STAFF HRD","Jakarta Utara",false,LABEL_COMPETITIVE_SALARY,"[""S1""]","Pemula / Staf",https://karir.com//opportunities/1393560,"Tidak Disebutkan","<p>Male, max 35 years old.
</p><p>Min. 3 years experience in HR is a must.
</p><p>Bachelor’s degree in Psychology, Management, Law or a related field.
</p><p>Responsible to handle HR administrative.
</p><p>Have a good knowledge and well experience in End to End Recruitment, Job
</p><p>Evaluation, HR Policies and labor laws related to compensation and benefits.
</p><p>Computer literate (MS Office)
</p><p>Competent in English (Oral and Written)
</p><p>Very good communication skills (oral and written)
</p><p>Possession of a valid driver’s license (SIM A &amp; C) is preferred.
</p><p>High integrity and honest.</p>",2024-04-16T06:19:58.686687Z
"PT Artha Demo Engineering Consultant","Staff Teknik Geodesi / Geografi",Bandung,false,LABEL_COMPETITIVE_SALARY,"[""S2"",""S1""]","Staf Senior",https://karir.com//opportunities/1394657,"Tidak Disebutkan","<p>1. Pria / Wanita
</p>
<p>2. Pengalaman di Konsultan Perencanaan
</p><p>3. Menguasai software pengolahan data untuk pemetaan, diantaranya adalah Digitasi Peta, Auto Cad, Arc View, dan GIS.
</p><p>4. Mempunyai kemampuan Digitasi Peta Tata Ruang dan Kebencanaan
</p><p>5. Mampu bekerjasama dalam tim
</p><p>6. Jujur, pekerja keras, aktif, inovatif, teliti dan berdedikasi tinggi
</p><p><br></p>




",2024-04-15T09:14:30.924233Z
