pt,title,lokasi,is_urgent,gaji,pendidikan,level,link,tipe_pekerjaan,description,post_date
"PT Sadikun Niagamas Raya","Produksi Supervisor ",Tangerang,false,LABEL_COMPETITIVE_SALARY,"[""S1""]",Supervisor,https://karir.com//opportunities/1394818,"Tidak Disebutkan","<p>&nbsp;&nbsp;&nbsp; 1) Mampu menganalisa kebutuhan kapasitas sumber daya dan proses produksi;</p><p>&nbsp;&nbsp;&nbsp; 2) Mampu menyelesaikan masalah yang berkaitan dengan proses produksi</p><p>&nbsp;&nbsp;&nbsp; 3) Mampu memotivasi diri untuk selalu belajar dan berkembang;</p><p>&nbsp;&nbsp;&nbsp; 4) Mampu melakukan pekerjaan sesuai target yang diberikan;</p><p>&nbsp;&nbsp;&nbsp; 5) Mampu bekerja dibawah tekanan;</p><p>&nbsp;&nbsp;&nbsp; 6) Proaktif<br></p><p>&nbsp;&nbsp;&nbsp;&nbsp; 7) Memiliki kemampuan Leadership, antusias, inisiatif, komunikatif dan mampu bekerja sama <br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; dengan team, </p><p>&nbsp;&nbsp;&nbsp;&nbsp; 8) Mampu Berbahasa Inggris,</p><p>&nbsp;&nbsp; &nbsp; 9) Bebas dari rokok.<br></p>",2024-04-24T08:30:43.783768Z
"HM Sampoerna","Tenaga Produksi",Tegal,false,LABEL_COMPETITIVE_SALARY,"[""SMA""]","Pemula / Staf",https://karir.com//opportunities/1393980,"Tidak Disebutkan","<p>Usia minimal 18 tahun<br></p><p>Membawa KTP asli &amp; fotokopi</p><p>Membawa fotokopi KK &amp; Ijazah</p><p>Membawa Pas Foto 3x4 (latar biru) 4 lembar</p><p>Terbuka untuk disabilitas</p><p>Bersedia mengikuti pelatihan kerja</p><p>Berlokasi Di Kabupaten Tegal<br><br>Jika Berminat Silahkan isi Link Sebagai Berikut:<br><strong>BIT.LY/TENAGAPRODUKSI-SAMPOERNATEGAL</strong><br></p>",2024-04-02T02:13:00Z
"PT Imecon Teknindo","Maintenance Technician Alat Produksi","Jakarta Selatan",false,LABEL_COMPETITIVE_SALARY,"[""S1"",""D3""]","Pemula / Staf",https://karir.com//opportunities/1394519,"Tidak Disebutkan","- Sehat jasmani &amp; rohani<p>- Wajib sudah vaksin Booster 1 (Vaksin Ketiga)</p><p>- Memiliki pengalaman kerja di industri Farmasi lebih disukai</p>",2024-03-30T12:33:59.113993Z
"PT Shelter Nusantara","Packer (Produksi)",Surabaya,false,LABEL_COMPETITIVE_SALARY,"[""SMA""]","Pemula / Staf",https://karir.com//opportunities/1394467,"Tidak Disebutkan","<p>- Laki – laki / Perempuan usia max 24 tahun<br></p><p>- Pendidikan minimal SMK Jurusan Teknik/Semua jurusan
</p><p>- Sehat dan tidak buta warna
</p><p>- Kontrak Season
</p><p>- Penempatan Mojokerto</p>

",2024-03-26T08:52:36.3082Z
"PT MENSANA ANEKA SATWA","PRODUKSI VAKSIN BAKTERI",Bogor,false,LABEL_COMPETITIVE_SALARY,"[""S1""]","Staf Senior",https://karir.com//opportunities/1394449,"Tidak Disebutkan","<ul>
	<li>Pendidikan S1 Farmasi/Biologik/Apoteker</li>
	<li>Pengalaman dibidangnya minimal 3-5 tahun</li>
	<li>Memiliki kemampuan dilaboratorium terutama media bakteri/meida culture</li>
	<li>Mampu mengoperasikan komputer dan MS. Office</li>
	<li>Dapat bekerja sama team maupun individu</li>
	<li>Bersedia bekerja dibawah tekanan&nbsp;</li>
</ul>
",2024-03-25T08:32:25.228878Z
"PT Shelter Nusantara","Admin Produksi",Surabaya,false,LABEL_COMPETITIVE_SALARY,"[""SMA""]","Pemula / Staf",https://karir.com//opportunities/1394290,"Tidak Disebutkan","- Laki - laki usia max 30 tahun<p>- Pendidikan minimal SMA/SMK</p><p>- Memiliki pengalaman sebagai Admin</p><p>- Penempatan Surabaya</p>",2024-03-18T02:54:56.483808Z
"PT Hokinda Citralestari","Supervisor Produksi",Medan,false,LABEL_COMPETITIVE_SALARY,"[""S1""]",Supervisor,https://karir.com//opportunities/1359908,"Tidak Disebutkan","<ul><li>S1 Teknik Mesin / Teknik Industri</li><li>Berpengalaman memimpin min. 2 tahun</li><li>Mampu koordinasi, monitoring dan bertanggung jawab pencapaian target produksi</li><li>Bersedia shift</li></ul><p><strong>Benefit:</strong></p><ul><li>Tunjangan Makan &amp; Transport</li><li>BPJS</li><li>Bonus Performance</li><li>Training</li><li>Jenjang Karir</li><li>Car Ownership Programme &amp; House Ownership Programme</li></ul>",2024-03-07T04:54:07.504183Z
"PT Grita Artha Kreamindo","Operator Produksi-Bali","Jakarta Selatan",false,LABEL_COMPETITIVE_SALARY,"[""SMA""]","Pemula / Staf",https://karir.com//opportunities/1394111,"Tidak Disebutkan","<p>Requirements
</p><p>o Pria, Usia max 25 Tahun
</p><p>o	Min SMA/SMK
</p><p>o	Tinggi min 165 cm
</p><p>o	Domisili Bali &amp; sekitarnya
</p><p><br></p><p><br></p>",2024-03-06T07:36:24.939524Z
"PT HASWARA ANJAYA AKEH","Kepala Produksi Advertaising (Bandung)","KOTA BANDUNG",false,LABEL_COMPETITIVE_SALARY,"[""SMA""]","Staf Senior",https://karir.com//opportunities/1394058,"Tidak Disebutkan","<p>Kualifikasi :&nbsp;</p><p></p><ul><li>Pria
</li><li>Min usia 25-40 Tahun
</li><li>Min pendidikan S1 (Teknik Sipil / Teknik Industri)
</li><li>Memiliki pengalaman min 2 Tahun dibidang (Advertaising)
</li><li>Memiliki pengetahuan mengenai Proyek Billboard Advertising
</li><li>Memiliki jiwa kepemimpinan &amp; managerial
</li><li>Good Communication&nbsp; &nbsp;</li></ul><p></p>",2024-03-05T07:20:58.939869Z
