pt,title,lokasi,gaji,level,pendidikan,tipePekerjaan,url,posteDate
"PT Hoki Distribusi Niaga","Sales Modern Trade","Jakarta Barat","Rp.4 – 5 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/penjualan/pengembangan-bisnis/sales-modern-trade-pt-hoki-distribusi-niaga-jakarta-barat.html,"Posted Date: April 22, 2024"
"Uola Prima Sejahtera, PT","Staff Admin","Jakarta Barat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/administrasi/staf-admin/staff-admin-uola-prima-sejahtera-pt-jakarta-barat.html,"Posted Date: April 22, 2024"
"Zaytuna Store",Admin,"Jakarta Selatan",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/penjualan/e-commerce/admin-zaytuna-store-jakarta-selatan.html,"Posted Date: April 22, 2024"
Ruangprint,"Kurir Mobil","Jakarta Barat","Rp.2 – 3 Juta","Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/transportation-logistics/kurir/kurir-mobil-ruangprint-jakarta-barat.html,"Posted Date: April 22, 2024"
"Widjaja Sukses Karya","Staff Purchasing","Jakarta Barat","Rp.2 – 3 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/transportation-logistics/purchasing-pembelian/staff-purchasing-widjaja-sukses-karya-jakarta-barat.html,"Posted Date: April 22, 2024"
"PT. Maritim Indonesia Juara",Frondesk,"Kepulauan Seribu",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/customer-care/resepsionis/frondesk-pt-maritim-indonesia-juara-kepulauan-seribu.html,"Posted Date: April 22, 2024"
"PT. Maritim Indonesia Juara",Housekeeping,"Kepulauan Seribu",Negosiasi,"Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/hotel/housekeeping/housekeeping-pt-maritim-indonesia-juara-kepulauan-seribu.html,"Posted Date: April 22, 2024"
"PT. Asia Berkat Abadi","Supir Pribadi","Jakarta Utara","Rp.4 – 5 Juta","Junior / Entry Level","SMA / SMK / STM",Kontrak,https://www.loker.id/transportation-logistics/driver/supir-pribadi-pt-asia-berkat-abadi-jakarta-utara.html,"Posted Date: April 22, 2024"
"NOIR GEAR",Sales,"Jakarta Barat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/penjualan/konsultan-penjualan/sales-noir-gear-jakarta-barat.html,"Posted Date: April 22, 2024"
"PT. ALTARINDO DURYA KASTARA","Admin Operasional","Jakarta Timur","Rp.1 - 2 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/administrasi/staf-admin/admin-operasional-pt-altarindo-durya-kastara-jakarta-timur-3.html,"Posted Date: April 22, 2024"
"PT. Nextindo Global Solusi","Marketing Produk IT","Jakarta Pusat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/penjualan/konsultan-penjualan/marketing-produk-it-pt-nextindo-global-solusi-jakarta-pusat.html,"Posted Date: April 22, 2024"
"PT. ALTARINDO DURYA KASTARA","Admin Marketing","Jakarta Timur","Rp.2 – 3 Juta","Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/administrasi/administrasi-penjualan/admin-marketing-pt-altarindo-durya-kastara-jakarta-timur.html,"Posted Date: April 22, 2024"
"Mixue Mangga Besar",Bartender,"Jakarta Pusat","Rp.3 – 4 Juta","Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/restaurant/bartender/bartender-mixue-mangga-besar-jakarta-pusat.html,"Posted Date: April 22, 2024"
"PT PARIPURNA RASA FOOD","Sales Canvaser","Jakarta Barat","Rp.2 – 3 Juta","Junior / Entry Level","SMA / SMK / STM",Kontrak,https://www.loker.id/ritel/asisten-ritel/sales-canvaser-pt-paripurna-rasa-food-jakarta-barat.html,"Posted Date: April 22, 2024"
"PT. PANDA LESTARI","Cook Helper","Jakarta Selatan","Rp.2 – 3 Juta","Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/restaurant/helper-kitchen/cook-helper-pt-panda-lestari-jakarta-selatan.html,"Posted Date: April 22, 2024"
"PT. Akraya International","Supir Direksi","Jakarta Selatan","Rp.6 – 7 Juta","Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/transportation-logistics/driver/supir-direksi-pt-akraya-international-jakarta-selatan.html,"Posted Date: April 22, 2024"
"Garuda Jaya Abadi","Host Live","Jakarta Pusat","Rp.2 – 3 Juta","Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/penjualan/e-commerce/host-live-garuda-jaya-abadi-jakarta-pusat.html,"Posted Date: April 22, 2024"
"PT. PANDA LESTARI",Cook,"Jakarta Selatan","Rp.3 – 4 Juta","Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/restaurant/koki/cook-pt-panda-lestari-jakarta-selatan.html,"Posted Date: April 22, 2024"
"Jatiluhur Glass","Estimator Proyek","Jakarta Utara",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/konstruksi-dan-bangunan/estimator/estimator-proyek-jatiluhur-glass-jakarta-utara.html,"Posted Date: April 22, 2024"
"Rioona Shop",Checker,"Jakarta Barat","Rp.1 - 2 Juta","Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/transportation-logistics/warehouse/checker-rioona-shop-jakarta-barat.html,"Posted Date: April 22, 2024"
"Rioona Shop",Packer,"Jakarta Barat","Rp.1 - 2 Juta","Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/transportation-logistics/packing/packer-rioona-shop-jakarta-barat.html,"Posted Date: April 22, 2024"
"LJ Hooker Tomang","Staff Admin","Jakarta Barat","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/administrasi/staf-admin/staff-admin-lj-hooker-tomang-jakarta-barat.html,"Posted Date: April 22, 2024"
"PT GEMILANG KULINER NUSANTARA","Admin Finance","Jakarta Utara","Rp.2 – 3 Juta","Junior / Entry Level","SMA / SMK / STM",Kontrak,https://www.loker.id/akuntansi-keuangan/akuntansi-finansial/admin-finance-pt-gemilang-kuliner-nusantara-jakarta-utara.html,"Updated:  April 23, 2024"
"CV Kencana Buana Prima","Staff Marketing","Jakarta Timur","Rp.2 – 3 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/ritel/asisten-ritel/staff-marketing-cv-kencana-buana-prima-jakarta-timur.html,"Posted Date: April 20, 2024"
"PT. SOLUSI INDO RAYA","Staff Barista","Jakarta Selatan","Rp.1 - 2 Juta","Junior / Entry Level","SMA / SMK / STM",Kontrak,https://www.loker.id/restaurant/barista/staff-barista-pt-solusi-indo-raya-jakarta-selatan.html,"Posted Date: April 20, 2024"
"PT CHANDRA ANUGRAH GEMILANG","Content Creator","Jakarta Utara","Rp.4 – 5 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/pemasaran/pemasaran-digital/content-creator-pt-chandra-anugrah-gemilang-jakarta-utara-2.html,"Posted Date: April 20, 2024"
"Bella Derma","Social Media Editor","Jakarta Utara","Rp.4 – 5 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/pemasaran/pemasaran-digital/social-media-editor-bella-derma-jakarta-utara.html,"Posted Date: April 19, 2024"
"Nagini Mulya Energi",Driver,"Jakarta Selatan","Rp.4 – 5 Juta","Junior / Entry Level","SMA / SMK / STM",Kontrak,https://www.loker.id/transportation-logistics/driver/driver-nagini-mulya-energi-jakarta-selatan.html,"Posted Date: April 19, 2024"
"PT HAFA KREATIF INDUSTRI","Inventory Purchasing","Jakarta Selatan",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/transportation-logistics/ppic/inventory-purchasing-pt-hafa-kreatif-industri-jakarta-selatan.html,"Posted Date: April 19, 2024"
"PT INTI SEMESTA HARMONI","Host Live Streaming","Jakarta Timur","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/penjualan/e-commerce/host-live-streaming-pt-inti-semesta-harmoni-jakarta-timur.html,"Posted Date: April 19, 2024"
