pt,title,lokasi,gaji,level,pendidikan,tipePekerjaan,url,posteDate
"PT Dhaulagiri Indo Raya","Warehouse Staff","Jakarta Utara","Rp.3 – 4 Juta","Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/transportation-logistics/warehouse/warehouse-staff-pt-dhaulagiri-indo-raya-jakarta-utara.html,"Posted Date: Februari 12, 2024"
"FX Aluminium","Staff Gudang","Jakarta Timur","Rp.3 – 4 Juta","Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/transportation-logistics/warehouse/staff-gudang-fx-aluminium-jakarta-timur-2.html,"Posted Date: Februari 6, 2024"
"PT BERLIAN ESTETIKA SUKSES",Security,"Jakarta Utara","Rp.6 – 7 Juta","Supervisor / Coordinator","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/pekerjaan-umum/satpam-security/security-pt-berlian-estetika-sukses-jakarta-utara.html,"Posted Date: Januari 31, 2024"
"PT. Interni Asia Group","Staff Accounting","Jakarta Selatan",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/akuntansi-keuangan/akuntansi-finansial/staff-accounting-pt-interni-asia-group-jakarta-selatan.html,"Posted Date: Januari 30, 2024"
"PT Tumbuh Sehat Makmur","Captain Karaoke/Bar","Jakarta Utara",Negosiasi,"Supervisor / Coordinator",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/restaurant/manajemen/captain-karaoke-bar-pt-tumbuh-sehat-makmur-jakarta-utara.html,"Posted Date: Januari 25, 2024"
"Kairos Digital Printing","Desk Print Staff","Jakarta Barat",Negosiasi,"Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/desain-arsitektur/grafis/desk-print-staff-kairos-digital-printing-jakarta-barat-2.html,"Posted Date: Januari 25, 2024"
"Foek Lam Group","Administrasi Finance","Jakarta Utara","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/akuntansi-keuangan/akuntansi-finansial/administrasi-finance-foek-lam-group-jakarta-utara.html,"Posted Date: Januari 24, 2024"
"Kairos Digital Printing","Staff Desain Grafis","Jakarta Barat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/desain-arsitektur/grafis/staff-desain-grafis-kairos-digital-printing-jakarta-barat.html,"Updated:  Maret 2, 2024"
"NICOLE PACK","Staff Accounting","Jakarta Barat","Rp.4 – 5 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/akuntansi-keuangan/akuntansi-finansial/staff-accounting-nicole-pack-jakarta-barat.html,"Posted Date: Januari 19, 2024"
fomu,"Operator Produksi","Jakarta Barat","Rp.3 – 4 Juta","Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/pabrik-dan-manufaktur/operator-mesin/operator-produksi-fomu-jakarta-barat.html,"Posted Date: Januari 18, 2024"
"LACH AND MARGOT","Staff Office Girl","Jakarta Utara","Rp.3 – 4 Juta","Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/pekerjaan-umum/office-boy-girl/staff-office-girl-lach-and-margot-jakarta-utara.html,"Posted Date: Januari 18, 2024"
"PT. SWADHARMA PROPERTINDO JAKARTA","Driver Operasional","Jakarta Selatan","Rp.3 – 4 Juta","Junior / Entry Level","SMA / SMK / STM",Kontrak,https://www.loker.id/transportation-logistics/driver/driver-operasional-pt-swadharma-propertindo-jakarta-jakarta-selatan.html,"Posted Date: Januari 17, 2024"
