nama_perusahaan,judul_pekerjaan,lokasi_pekerjaan,gaji_pekerjaan,type_pekerjaan,deskripsi_pekerjaan,tanggal_diposting,link
"AmantraNa Canggu","Front Office Staff","Canggu, Bali","Rp3.300.000 - Rp3.500.000 per bulan","Full time","AmantraNa Canggu is a modern Indonesian style eco-friendly boutique hotel in Canggu.Requirements:- Minimum 1 Year working experience in related field - Proficient in English, both written and verbally - Able to provide personable, welcoming, and professional customer service- Available to work as soon as possible- Able to work in a teamPersyaratan minimum:Tersedia jam fleksibelDiperlukan 2-3 tahun pengalaman kerja yang relevan untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 01 May 2024Gaji yang diinginkan: Rp3,300,000 - Rp3,500,000 per bulan","4 hari yang lalu",https://id.jobstreetexpress.com//job/Front-Office-Staff-6239c9963fba61ffab2e526dd9dce359?abstract_type=original&fsv=true&sfjt=&sl=&sp=sserp_top&sponsored=true&sq=&sr=1&tk=zsNizCAVEh2aaDEmHGCq-ggnU9q4Dj6SYqOBZ3s_E&trigger_source=serp
"PT. KINKLAUS SUKSES INDO (KS GROUP)","Staff Promotion KS GROUP BANDUNG","Kelurahan Braga, Jawa Barat","Rp2.500.000 - Rp6.000.000 per bulan","Full time","Tanggung Jawab Pekerjaan:Melakukan kegiatan promosi dann penjualan produk perusahaanMenyusun rencana kegiatan promosi, dan promosi langsung bertemu customerKualifikasi Pendidikan : Pendidikan Minimal SMA/SMK sederajatFreshgraduate silakan melamarUsia Maksimal 26 TahunMemiliki Komunikasi yang baikDapat Belerja secara team maupun individuJujur, ulet, ramah, dan memiliki rasa percaya diri yang tinggiBisa untuk freelance (sambil kuliah) Good attitude & presentableBenefit : Gaji PokokTunjangan Konsumsi dan TranportasiTunjangan KesehatanBonus Training (7hari) (jika lolos) 250.000MessPersyaratan minimum:Tersedia jam fleksibelTidak diperlukan pengalaman kerja untuk posisi iniPelamar harus memiliki KTPGaji yang diinginkan: Rp2,500,000 - Rp6,000,000 per bulan","6 hari yang lalu",https://id.jobstreetexpress.com//job/Staff-Promotion-KS-b5e4a7403a287f9890719442e3d91aba?abstract_type=original&fsv=true&sfjt=&sl=&sp=sserp_top&sponsored=true&sq=&sr=2&tk=zsNizCAVEh2aaDEmHGCq-ggnU9q4Dj6SYqOBZ3s_E&trigger_source=serp
"BP Management","Staff Administrasi",Jakarta,"Tanpa pengalaman kerja","Tanpa pengalaman kerja","Tanggung Jawab :Menyimpan catatan karyawan baik fisik maupun digitalMelakukan perawatan arsip data pelanggan maupun mitra eksternalMendistribusikan surat masuk dan keluarMenjaga catatan arsip karyawan baik dalam bentuk fisik maupun digitalMenyiapkan laporan dan presentasi rutinMengatur, menyimpan dan mencetak dokumen perusahaan sesuai dengan kebutuhanMenjawab dan mengalihkan panggilan teleponMengatur perjalanan bisnisMengupdate kebijakan kantorPersyaratan Pekerjaan :Memiliki pengetahuan mengenai kebijakan dan prosedur kantorBerpengalaman dalam menggunakan MS OfficeMemiliki keterampilan organisasi dan manajemen waktu yang baikMemiliki kemampuan komunikasi yang baik dalam verbal dan tulisanMemiliki atensi yang baik terhadap detail dan selalu berupaya untuk menyelesaikan masalahSMK/SMA atau tingkat pendidikan yang lebih tinggi, dan memiliki kualifikasi sebagai staff administrasi, atau sekretaris adalah nilai plusPersyaratan minimum:Mencari kandidat untuk bekerja pada:Senin: Pagi, Siang, SoreSelasa: Pagi, Siang, SoreRabu: Pagi, Siang, SoreKamis: Pagi, Siang, SoreJum'at: Pagi, Siang, SoreSabtu: Pagi, Siang, SoreMinggu: Pagi, Siang, SoreTidak diperlukan pengalaman kerja untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 29 April 2024","6 hari yang lalu",https://id.jobstreetexpress.com//job/Administrasi-8a2f8a87c73c2580dd3f0bec75f7aca5?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=5e9c2831-7c9a-440e-842d-9390a28b40a7&sp=serp&sponsored=false&sq=&sr=1&tk=zsNizCAVEh2aaDEmHGCq-ggnU9q4Dj6SYqOBZ3s_E&trigger_source=serp
"PT. Mita Jaya Mandiri","Admin Online","Mangga Besar, Jakarta","Tanpa pengalaman kerja","Part time","PersyaratanMaxsimal usia 45 tahunMenguasai internet/sosial mediaTeliti, cekatan, disiplin, mau belajarKerja online darimanapun sebagai admin Tokopedia, Shopee dan BukalapakMudah dihubungi via WhatsappPersyaratan minimum:Tersedia jam fleksibelTidak diperlukan pengalaman kerja untuk posisi iniKartu izin tinggal dapat diberikan untuk posisi iniGaji yang diinginkan: Rp3,000,000 - Rp5,000,000 per bulan","4 hari yang lalu",https://id.jobstreetexpress.com//job/Admin-3cf680af59477bfdc1c49fc6dd672ddb?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=5e9c2831-7c9a-440e-842d-9390a28b40a7&sp=serp&sponsored=false&sq=&sr=2&tk=zsNizCAVEh2aaDEmHGCq-ggnU9q4Dj6SYqOBZ3s_E&trigger_source=serp
"CV. Sukses Makmur","Admin Freelance","Purwodinatan, Jawa Tengah","Rp3.000.000 - Rp5.000.000 per bulan","Tanpa pengalaman kerja","Tugas dan tanggung jawab :Membantu operasional adminKualifikasi Pelamar :Usia maksimal 35 tahunDomisili SemarangMinimal SMA/SMK sederajatBertanggung jawab Paham MS Office Mampu bekerja dibawah tekanan Persyaratan minimum:Tersedia jam fleksibelTidak diperlukan pengalaman kerja untuk posisi iniKartu izin tinggal dapat diberikan untuk posisi ini","Sekitar 23 jam yang lalu",https://id.jobstreetexpress.com//job/Admin-ba9d5d9cfce167891b7dc4ca7ed27d42?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=5e9c2831-7c9a-440e-842d-9390a28b40a7&sp=serp&sponsored=false&sq=&sr=3&tk=zsNizCAVEh2aaDEmHGCq-ggnU9q4Dj6SYqOBZ3s_E&trigger_source=serp
"Abdi Perdana Cipta","Staff admin penempatan sariwangi","Cihanjuang, Jawa Barat","Tanpa pengalaman kerja","Full time","membutuhkan staff admin hanya berfokus pada data-data yang ada mengolah data- usia 22-30thn- memiliki kendaraan bermotor- Diutamakan domisili cimahi/ sekitaran sariwangi - pendidikan min D3 / smk akuntansi memiliki pengalaman yg sama min 1thn- mampu bekerja sama secara team- bertanggung jawab- menguasai laporan pembukuan keuangan 
- mampu menggunakan komputer miscrosoft excel dasar- penempatan kantor sariwangi kab.bandung- di utamakan domisili dekat kantor- salery awal (60.000-70.000-100.000 / hari) sambil melihat kinerja dan bisa ada bonusPersyaratan minimum:Mencari kandidat untuk bekerja pada:Senin: PagiSelasa: PagiRabu: PagiKamis: PagiJum'at: PagiSabtu: PagiDiperlukan 1 tahun pengalaman kerja yang relevan untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 02 May 2024Gaji yang diinginkan: Rp70,000 - Rp100,000 per hari","1 hari yang lalu",https://id.jobstreetexpress.com//job/Admin-0426e860c52df6f23b1ed84d7842b849?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=5e9c2831-7c9a-440e-842d-9390a28b40a7&sp=serp&sponsored=false&sq=&sr=4&tk=zsNizCAVEh2aaDEmHGCq-ggnU9q4Dj6SYqOBZ3s_E&trigger_source=serp
"PT Samyang Indonesia","Staff Admin","Pejagalan, Jakarta","Part time",,"Jobdesc:- Melakukan filing dokumen- Membantu divisi lain dalam hal administrasi dan pekerjaan lainnya- Membantu koordinasi antar tim yang membutuhkan- Menjawab telepon dan merespon email masuk- Membuat laporan yang dibutuhkanReq:- Pendidikan minimal D3 semua jurusan (fresh graduates are welcome)- Memiliki pengalaman di bidang usaha Outsourcing atau PJTKI atau yang sejenisnya- Dapat mengoperasikan Ms. Office, terutama Excel- Disiplin, teliti, baik dalam komunikasi, bertanggung jawab dan jujurPersyaratan minimum:Mencari kandidat untuk bekerja pada:Senin: Pagi, SiangSelasa: Pagi, SiangRabu: Pagi, SiangKamis: Pagi, SiangJum'at: Pagi, SiangSabtu: Pagi, SiangDiperlukan 1 tahun pengalaman kerja yang relevan untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 25 May 2024","Sekitar 4 jam yang lalu",https://id.jobstreetexpress.com//job/Admin-037e1c3f1a233c3a598d9c5aa0d8dad6?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=5e9c2831-7c9a-440e-842d-9390a28b40a7&sp=serp&sponsored=false&sq=&sr=5&tk=zsNizCAVEh2aaDEmHGCq-ggnU9q4Dj6SYqOBZ3s_E&trigger_source=serp
"Gadai Top Pulo Jahe","Staff Admin","Jatinegara, Jakarta","Tanpa pengalaman kerja","Tanpa pengalaman kerja","Tanggung Jawab Pekerjaan:• Menyapa dan mengarahkan tamu kantor dan menjawab panggilan telepon.• Menjadwalkan janji atau rencana temu dan menindaklanjutinya dalam kalendar.• Menjadwalkan dan mengatur pertemuan antar staf dan klien.• Menerima dan membagikan surat.• Memastikan inventaris kantor tersedia.• Melakukan akuntansi dan pembukuan.• Menyiapkan bantuan komunikasi seperti memo, email, invoices, laporan dan lainnya.• Menulis dan Mengedit dokumen dari surat menjadi laporan dan atau dokumentasi arahan.• Membuat dan menjaga sistem pengarsipan, baik fisik maupun elektronik.Persyaratan Pekerjaan:• Kandidat adalah lulusan (Diploma, Sertifikasi, SMU, SMK) atau lulusan lainnya yang setara• 1 tahun pengalaman di bidang terkait• Memiliki pengalaman kerja sebagai sekretaris• Memiliki pengalaman dalam (Microsoft Office) pada tingkat (dasar/terampil)• Memiliki kemampuan melakukan pembukuan dasar• Kemampuan mengatur, pembagian waktu dan komunikasi yang baik• Memiliki kemampuan membangun hubungan dan adaptasi yang baikPersyaratan minimum:Tersedia jam fleksibelTidak diperlukan pengalaman kerja untuk posisi iniPelamar harus memiliki KTP","Sekitar 1 jam yang lalu",https://id.jobstreetexpress.com//job/Admin-88a277d2d41a3a9bb22daaa05974d331?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=5e9c2831-7c9a-440e-842d-9390a28b40a7&sp=serp&sponsored=false&sq=&sr=6&tk=zsNizCAVEh2aaDEmHGCq-ggnU9q4Dj6SYqOBZ3s_E&trigger_source=serp
"PT.Grand Pasific Pratama","Staff Admin Cabang Kenjeran","Gading, Jawa Timur","Part time","Full time","Melakukan input dan olah data merupakan tanggung jawab basic dari seorang admin,  untuk posisi admin yang sedang kami buka ini nantinya akan fokus pada admin penjualan, admin gudang, serta admin piutang.Persyaratan minimum:Tersedia jam fleksibelDiperlukan 1 tahun pengalaman kerja yang relevan untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 30 July 2024Gaji yang diinginkan: Rp1,500,000 - Rp3,000,000 per bulan","Sekitar 23 jam yang lalu",https://id.jobstreetexpress.com//job/Admin-8a7768399ece7b7f3521840be6994ee2?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=5e9c2831-7c9a-440e-842d-9390a28b40a7&sp=serp&sponsored=false&sq=&sr=7&tk=zsNizCAVEh2aaDEmHGCq-ggnU9q4Dj6SYqOBZ3s_E&trigger_source=serp
"Mizuho Leasing Indonesia - Yogyakarta","Administrasi Staff","Danukusuman, Jawa Tengah","Rp70.000 - Rp100.000 per hari","Tanpa pengalaman kerja","Deskripsi Pekerjaan :Filling Dokumen & Entry DataMelakukan pekerjaan administrasi yang menyangkut bagian operationalMembuat laporan administrasiBertanggung jawab atas semua tugas yang berhubungan dengan administrasiPersyaratan Pekerjaan :Usia maksimal 30 tahunPendidikan S1 segala jurusanFresh Graduate are WelcomeMenguasai dan mampu mengoperasikan Microsoft Office (Excel, Word, dan lain lain)SLIK ClearPenempatan Cabang Yogyakarta - Jalan Raya Magelang No 43, RT/RW: 46/10, Kricak, Tegalrejo, Kota YogyakartaPersyaratan minimum:Mencari kandidat untuk bekerja pada:Senin: Pagi, SiangSelasa: Pagi, SiangRabu: Pagi, SiangKamis: Pagi, SiangJum'at: Pagi, SiangSabtu: Pagi, SiangTidak diperlukan pengalaman kerja untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 06 May 2024","4 hari yang lalu",https://id.jobstreetexpress.com//job/Administrasi-Staff-d233d77ceb517e41fdead17abae17cff?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=5e9c2831-7c9a-440e-842d-9390a28b40a7&sp=serp&sponsored=false&sq=&sr=8&tk=zsNizCAVEh2aaDEmHGCq-ggnU9q4Dj6SYqOBZ3s_E&trigger_source=serp
"Mandiri Tekno Jaya - Pinangsia","Staff Admin/Translate","Kelurahan Pinangsia, Jakarta","Tanpa pengalaman kerja","Tanpa pengalaman kerja","Tanggung Jawab Pekerjaan :​​• Menyapa dan mengarahkan tamu kantor dan menjawab panggilan telepon.​• Menjadwalkan janji atau rencana temu dan menindaklanjutinya dalam kalendar.​• Menjadwalkan dan mengatur pertemuan antar staf dan klien.​• Menerima dan membagikan surat.​ • Memastikan inventaris kantor tersedia.​• Melakukan akuntansi dan pembukuan.​• Menyiapkan bantuan komunikasi seperti memo, email, invoices, laporan dan lainnya.​• Menulis dan • Mengedit dokumen dari surat menjadi laporan dan atau dokumentasi arahan.​• Membuat dan menjaga sistem pengarsipan, baik fisik maupun elektronik.​Persyaratan Pekerjaan :​• Kandidat adalah lulusan (Diploma, Sertifikasi, SMU, SMK) atau lulusan lainnya yang setara​• 1 tahun pengalaman di bidang terkait​ diutamakan• Memiliki kemampuan bahasa (Inggris dan Mandarin) pada tingkat (dasar/fasih)​• Memiliki pengalaman dalam (Microsoft Office) pada tingkat (dasar/terampil)​• Memiliki kemampuan melakukan pembukuan dasar​• Kemampuan mengatur, pembagian waktu dan komunikasi yang baik​•Memiliki kemampuan membangun hubungan dan adaptasi yang baikPersyaratan minimum:Mencari kandidat untuk bekerja pada:Senin: Pagi, Siang, SoreSelasa: Pagi, Siang, SoreRabu: Pagi, Siang, SoreKamis: Pagi, Siang, SoreJum'at: Pagi, Siang, SoreSabtu: Pagi, Siang, SoreTidak diperlukan pengalaman kerja untuk posisi iniPelamar harus memiliki KTP","1 hari yang lalu",https://id.jobstreetexpress.com//job/Admin-35cd983d4602e8e8d8ea8d5939bc2c98?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=5e9c2831-7c9a-440e-842d-9390a28b40a7&sp=serp&sponsored=false&sq=&sr=9&tk=zsNizCAVEh2aaDEmHGCq-ggnU9q4Dj6SYqOBZ3s_E&trigger_source=serp
"Ivory Studio","Staff Packing & Pengiriman","Yogyakarta, Yogyakarta","Rp1.500.000 - Rp3.000.000 per bulan","Full time","Berkoordinasi dengan Quality control terkait baju dan kelengkapan yang siap untuk di packingBerkoordinasi dengan admin sales terkait alamat pengiriman paket yang akan dikirim Berkoordinasi dengan Quality control dan admin sales terkait dengan terkait prioritas pesanan yang dapat dan/atau harus dikirim setiap harinyaMemastikan ketersediaan jasa pengiriman Packing yang baik dan benarMencetak nama, alamat dan nomor sesuai dengan data pemesan/ customer Mengkonfirmasi ke customer/ pemesan paket sudah dikirim dan resi pengirimanMengupdate data di sistem jika paket yang sudah dikirimBertanggung Jawab atas barang yang sudah dikirim dan diterima sesuai dengan tujuan pemesan atau customerBerkoordinasi dengan keuangan terkait dana keluar untuk pembayaran ongkir tiap-tiap customerPersyaratan minimum:Mencari kandidat untuk bekerja pada:Senin: Siang, SoreSelasa: Siang, SoreRabu: Siang, SoreKamis: Siang, SoreJum'at: Siang, SoreSabtu: Siang, SoreMinggu: Siang, SoreDiperlukan 1 tahun pengalaman kerja yang relevan untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 13 May 2024Gaji yang diinginkan: Rp2,316,000 per bulan","Sekitar 22 jam yang lalu",https://id.jobstreetexpress.com//job/Staff-Packing-Pengiriman-9731e7e2d3c85c7bbdb47fefdedb1888?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=5e9c2831-7c9a-440e-842d-9390a28b40a7&sp=serp&sponsored=false&sq=&sr=10&tk=zsNizCAVEh2aaDEmHGCq-ggnU9q4Dj6SYqOBZ3s_E&trigger_source=serp
"One Works salon","asisten hair stlylist salon",Jakarta,"Tanpa pengalaman kerja","Full time","Persyaratan:bisa / tidak bisa berbahasa mandarinrajinmau di berikan arahanberusia 20 - 27 tahunfashionabledisiplin tidak pilih pilih kerjaankita menelayani pelanggan dengan segenap hati, dapat tinggal di asrama yang di berikanSalon berada di PIKPersyaratan minimum:Tersedia jam fleksibelTidak diperlukan pengalaman kerja untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 01 May 2024Gaji yang diinginkan: Rp3,000,000 - Rp5,000,000 per bulan","1 hari yang lalu",https://id.jobstreetexpress.com//job/Asisten-79ce2d8ee33cd98a410271fe0732df78?abstract_type=original&fsv=true&sfjt=&sl=&sp=sserp_bottom&sponsored=true&sq=&sr=3&tk=zsNizCAVEh2aaDEmHGCq-ggnU9q4Dj6SYqOBZ3s_E&trigger_source=serp
HONEYST,"Food Server (Waiter, Waitress)","Kelurahan Gubeng, Jawa Timur","Tanpa pengalaman kerja","Full time","Company DescriptionWe are a Korean Dessert Cafe started in Seoul Korea 2014. We successfully launched our brand in Indonesia in 2018 and we aim to expand our outlets all around Indonesia.Store AddressJl. Sumatera No.76, Gubeng, Kec. Gubeng, Surabaya, Jawa Timur 60281Role DescriptionThis is a full-time on-site role for a Dessert Cafe role at HONEYST located in Surabaya. The role involves day-to-day tasks such as food preparation, food service, food safety, customer service, and managing food and beverage operations.Qualifications• Minimum 1 year of experience in the same position• Food Preparation, Food Service, and Food Safety skills• Customer Service skills• Experience in the food and beverage industry• Knowledge of food safety regulations and procedures• Good communication and interpersonal skills• Ability to work in a fast-paced environment• Attention to detail and organizational skills• Ability to work well in a team• Must live in SurabayaPosition : Waiter & WaitressWork:• 6 days a week• 7~8 hours in a day• Salary will be discussed in the Interview• THR will be provided.Let's be a great team!Persyaratan minimum:Tersedia jam fleksibelDiperlukan 1 tahun pengalaman kerja yang relevan untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 05 May 2024Gaji yang diinginkan: Rp2,500,000 - Rp3,500,000 per bulan","4 hari yang lalu",https://id.jobstreetexpress.com//job/Food-Server-b31fcb760d384cc98679e99e55a8ee6e?abstract_type=original&fsv=true&sfjt=&sl=&sp=sserp_bottom&sponsored=true&sq=&sr=4&tk=zsNizCAVEh2aaDEmHGCq-ggnU9q4Dj6SYqOBZ3s_E&trigger_source=serp
"PT. FOMU KARYA BERSAMA","Sales Marketing","Duripulo, Jakarta","Rp2.316.000 - Rp2.316.000 per bulan","Full time","FOMU merupakan perusahaan (PT.) yang bergerak di bidang teknologi 3D printing. Saat ini sedang membutuhkan Staff Sales Marketing yang akan melakukan pemasaran produk custom 3D print.Tanggung Jawab Pekerjaan:1.	Melakukan pemasaran untuk penjualan produk custom 3D print2.	Mencapai target penjualan bulanan dan tahunan penjualan produk3.	Membina hubungan baik dengan customer4.	Memberikan informasi yang tepat mengenai produk &amp; promosi kepada customer5.	Membuat laporan target harian dan bulanan6.	Membuat rencana penjualanKeahlian:1.	Mampu berkerja dengan target2.	Memiliki kemampuan selling, komunikasi, &amp; negosiasi yang baik3.	Memiliki kreatifitas dan strategi yang bagus dalam mempromosikan produkKualifikasi:1.	Usia Maksimal 40 Tahun2.	Pendidikan terakhir minimum SMA/SMK3.	Minimal memiliki kendaraan motor sendiri SIM C3.	Pengalaman di bidang pemasaran/penjualanPersyaratan minimum:Mencari kandidat untuk bekerja pada:Senin: Pagi, SiangSelasa: Pagi, SiangRabu: Pagi, SiangKamis: Pagi, SiangJum'at: Pagi, SiangSabtu: Pagi, SiangDiperlukan 1 tahun pengalaman kerja yang relevan untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 13 May 2024Gaji yang diinginkan: Rp10,000,000 - Rp12,000,000 per bulan","1 hari yang lalu",https://id.jobstreetexpress.com//job/Sales-Marketing-6f52fab08bf58d0218ae5d222d8aa90e?abstract_type=original&fsv=true&sfjt=&sl=&sp=sserp_bottom&sponsored=true&sq=&sr=5&tk=zsNizCAVEh2aaDEmHGCq-ggnU9q4Dj6SYqOBZ3s_E&trigger_source=serp
Gailurra,Akuntan,"Yogyakarta, Yogyakarta","Tanpa pengalaman kerja","Tanpa pengalaman kerja","Kualifikasi:Max 30th.Excellent written and verbal communication.Attention to detail and problem solving.Have good accounting analysis skills.Understand the journal process, be able to prepare financial reports and bookkeeping.Proficient in operating computers and accounting programs.Persyaratan minimum:Tersedia jam fleksibelTidak diperlukan pengalaman kerja untuk posisi iniPelamar harus memiliki KTP","Sekitar 23 jam yang lalu",https://id.jobstreetexpress.com//job/Akuntan-bc1f98629cc2a11357e730589280e11b?abstract_type=original&fsv=true&sfjt=&sl=&sp=sserp_top&sponsored=true&sq=&sr=11&tk=zsNizCAVEh2aaDEmHGCq-1u3D3jrbzgRoZ23PPy6F&trigger_source=serp
"Soil Food Temple","shop assistant","Canggu, Bali","Rp4.300.000 - Rp4.300.000 per bulan",,"Assiting customerMaintaining the cleanliness of storeMake simple homemade products (beverages)Receiving, packing & arranging new item from suppliers / vendorsProduct refill & organizing display productsProcessing customer complaintsHandling customer paymentProviding advice & recommendation to customerGood communication skill in english Persyaratan minimum:Mencari kandidat untuk bekerja pada:Senin: Pagi, SiangSelasa: Pagi, SiangRabu: Pagi, SiangKamis: Pagi, SiangJum'at: Pagi, SiangSabtu: Pagi, SiangMinggu: Pagi, SiangDiperlukan 1 tahun pengalaman kerja yang relevan untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 01 June 2024","Sekitar 8 jam yang lalu",https://id.jobstreetexpress.com//job/Assistant-cf586036f5a56e966e79439cb64b3b8c?abstract_type=original&fsv=true&sfjt=&sl=&sp=sserp_top&sponsored=true&sq=&sr=12&tk=zsNizCAVEh2aaDEmHGCq-1u3D3jrbzgRoZ23PPy6F&trigger_source=serp
"Baba Rafi Enterprise","STAFF GUDANG","Kletek, Jawa Timur","Tanpa pengalaman kerja","Full time","Usia max 27 tahunPendidikan min S1Miliki pengalaman sebagai store leader lebih diutamakanFamiliar dengan sistem POSMemahami sistem administrasi outletBersedia bekerja shift & mobileMampu mengoperasikan Microsoft OfficeTerbiasa bekerja di bawah tekananPenempatan : Surabaya BaratPersyaratan minimum:Mencari kandidat untuk bekerja pada:Senin: Pagi, SiangSelasa: Pagi, SiangRabu: Pagi, SiangKamis: Pagi, SiangJum'at: Pagi, SiangTidak diperlukan pengalaman kerja untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 13 May 2024Gaji yang diinginkan: Rp4,300,000 per bulan","Sekitar 4 jam yang lalu",https://id.jobstreetexpress.com//job/Gudang-47625818e62af544c638775e2f3c9a7c?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=8ea7e774-c8d5-4bdb-bf37-c14088622498&sp=serp&sponsored=false&sq=&sr=11&tk=zsNizCAVEh2aaDEmHGCq-1u3D3jrbzgRoZ23PPy6F&trigger_source=serp
"UNISI HOTEL MALIOBORO","Front Office Staff","Sosromenduran, Yogyakarta","Tanpa pengalaman kerja",,"Requirements:1. Min. Senior High School, D3 Hotel & Tourism is advantage.2. At least 1 (one) year experience at the same field in the 3 or 4 stars hotel.3. Great in leadership and communication.4. Hospitality attitude, enthusiast, team player, multiple tasks in one time.5. Fluent in english both verbal and writing.6. Possess clean track record with references, able to join immediately.Persyaratan minimum:Tersedia jam fleksibelTidak diperlukan pengalaman kerja untuk posisi iniPelamar harus memiliki KTP","5 hari yang lalu",https://id.jobstreetexpress.com//job/Front-Office-Staff-7fef6e59c244870ca56bc688f3e563a5?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=8ea7e774-c8d5-4bdb-bf37-c14088622498&sp=serp&sponsored=false&sq=&sr=12&tk=zsNizCAVEh2aaDEmHGCq-1u3D3jrbzgRoZ23PPy6F&trigger_source=serp
"CV Indah Duta","Staff Admin","Yogyakarta, Yogyakarta","Tanpa pengalaman kerja","Tanpa pengalaman kerja","kantor kacamata OPTIKdist lensa, frame import dan lokalposisi staff adminsyarat :usia 18-28thminimal SLTAbeebadan sehatpembelajaradaptifbenefit :gaji per 2 mingguumrseragamjenjang karierdaftar gratisditerima langsung probationPersyaratan minimum:Mencari kandidat untuk bekerja pada:Senin: Pagi, SiangSelasa: Pagi, SiangRabu: Pagi, SiangKamis: Pagi, SiangJum'at: Pagi, SiangSabtu: Pagi, SiangTidak diperlukan pengalaman kerja untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 06 May 2024","3 hari yang lalu",https://id.jobstreetexpress.com//job/Admin-42dff503453a1485d0300a2d9adb7143?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=8ea7e774-c8d5-4bdb-bf37-c14088622498&sp=serp&sponsored=false&sq=&sr=13&tk=zsNizCAVEh2aaDEmHGCq-1u3D3jrbzgRoZ23PPy6F&trigger_source=serp
"King Duck Center Jakarta","Staff Admin",Jakarta,"Rp2.000.000 - Rp2.600.000 per bulan",,"Job des :1. Memproses pesanan.2. Merespon pembeli dengan baik3. Cek stok fisik4. Memastikan safety stock5. Menawarkan barang ke konsumen secara online6. Follow up konsumen7. Membuat program diskon di ecommerce8. Monitor biaya dan tagihan konsumen.Persyaratan minimum:Tersedia jam fleksibelDiperlukan 1 tahun pengalaman kerja yang relevan untuk posisi iniPelamar harus memiliki KTP","6 hari yang lalu",https://id.jobstreetexpress.com//job/Admin-e6121375b9fc507de8ff5b5e9cde4ca6?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=8ea7e774-c8d5-4bdb-bf37-c14088622498&sp=serp&sponsored=false&sq=&sr=14&tk=zsNizCAVEh2aaDEmHGCq-1u3D3jrbzgRoZ23PPy6F&trigger_source=serp
Inisago,"Content Admin","Yogyakarta, Yogyakarta","Tanpa pengalaman kerja","Tanpa pengalaman kerja","DIBUTUHKAN CONTENT ADMIN📝 Persyaratan:Minimal S1 Segala JurusanTangguh, semangat juang tingggiPunya jiwa kepemimpinanDetail, visionerKemampuan komunikasi & manajemen waktu yang baikBisa basic editing (desain & video)Penempatan : Jogja✔️ Tugas & Tanggung Jawab:Menjalin komunikasi dengan klien untuk memastikan kebutuhan klien terpenuhiBerkoordinasi dengan tim untuk memproduksi konten Membuat report bulanan untuk klienMengelola sosial media klienPersyaratan minimum:Tersedia jam fleksibelTidak diperlukan pengalaman kerja untuk posisi iniPelamar harus memiliki KTP","1 hari yang lalu",https://id.jobstreetexpress.com//job/Content-Admin-676c311f26a752cb50e8a29a6bd6487c?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=8ea7e774-c8d5-4bdb-bf37-c14088622498&sp=serp&sponsored=false&sq=&sr=15&tk=zsNizCAVEh2aaDEmHGCq-1u3D3jrbzgRoZ23PPy6F&trigger_source=serp
