nama_perusahaan,judul_pekerjaan,lokasi_pekerjaan,gaji_pekerjaan,type_pekerjaan,deskripsi_pekerjaan,tanggal_diposting,link
"JAWDA FASHION","Admin Gudang Olshop Fashion","Tirtonirmolo, Yogyakarta","Rp1.500.000 - Rp2.500.000 per bulan","Full time","Job Desk :Jam kerja : jam 8 sampai 4 sore untuk shif pagi.Dan jam 12 siang sampai 8 malam untuk sif malamMelakukan penerimaan stock dan memproses pesanan dari bagian gudangMembuat laporan stock barang yang adaMembuat catatan administrasi yang meliputi persediaan barang.Merapikan setiap barang yang ada di gudang dan dipisahkan sesuai dengan kelompoknya masing-masingMenghitung jumlah stok barang setiap hari secara manualMelakukan koordinasi dengan bagian admin penjualan, terkait dengan stock barang yang ada di gudangMelakukan monitoring proses pendistribusian barang yang sedang dikirimMengontrol dan bertanggung jawab atas penyimpanan barangTanggung jawab atas kerapian dan kebersihan lingkungan area dalam gudangKualifikasi :Menguasai admintistrasi stok barangMemiliki komunikasi yang baikTidak sedang kuliahUsia minimal 20 tahunJujur, Serius, Ramah, Supel, Semangat dan Rajin bekerjaPengalaman lebih diutamakan.Domisili D.I YOGYAKARTABenefit :Snack, Makan siang, tempat ibadahGaji UMR (Kerjaan bagus ada tambahan gaji)Persyaratan minimum:Mencari kandidat untuk bekerja pada:Senin: Siang, PagiSelasa: Siang, PagiRabu: Siang, PagiKamis: Siang, PagiJum'at: Siang, PagiSabtu: Siang, PagiTidak diperlukan pengalaman kerja untuk posisi iniKartu izin tinggal dapat diberikan untuk posisi iniTanggal mulai kerja: 04 May 2024Gaji yang diinginkan: Rp1,500,000 - Rp2,500,000 per bulan","3 hari yang lalu",https://id.jobstreetexpress.com//job/Admin-4c124dfbc3aefffc5cf89a8e54b2c52e?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=42cdf1cc-93bc-4d16-862a-60512f1ce6dd&sp=serp&sponsored=false&sq=&sr=86&tk=zsNizCAVEh2aaDEmHGCq-OX22zCp6xJUQUouEvGds&trigger_source=serp
"Youhave Official","Staff Packing","Kelurahan Ancol, Jakarta","Tanpa pengalaman kerja","Full time","JobdeskMempacking produkMemberi label pada produkMemeriksa ukuran, warna, jenis, dan jumlah produk sesuai dengan resiMengecek kelengkapan produk Quality Control produk sebelum di kemasPerkerjaan gudang lainnyaKualifikasiMemiliki pengetahuan mengenai Marketplace atau onlineshopMengetahui apa itu JNE,JNT, Shopee dan jasa pengiriman lainnyadiutamakan pengalaman packingMengetahui matematika dasar perhitunganTidak jauh dari Lodan Center, Jakarta UtaraPersyaratan minimum:Mencari kandidat untuk bekerja pada:Senin: PagiSelasa: PagiRabu: PagiKamis: PagiJum'at: PagiSabtu: PagiTidak diperlukan pengalaman kerja untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 12 May 2024Gaji yang diinginkan: Rp1,800,000 - Rp2,200,000 per bulan","1 hari yang lalu",https://id.jobstreetexpress.com//job/Staff-Packing-67fb1d98afb738d67e3a0caf8d098de4?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=42cdf1cc-93bc-4d16-862a-60512f1ce6dd&sp=serp&sponsored=false&sq=&sr=87&tk=zsNizCAVEh2aaDEmHGCq-OX22zCp6xJUQUouEvGds&trigger_source=serp
"PT. Javis Teknologi Albarokah","Admin HRD","Yogyakarta, Yogyakarta","Rp1.800.000 - Rp2.200.000 per bulan",,"Syarat :Pendidikan SMA/SMK Semua JurusanUsia maks. 30 TahunMemahami Ms. OfficePaham mengenai perawatan gedung dan kebersihanPaham perawatan kendaraan dan perijinanTerbiasa mengurus pengadaan ATK (Alat Tulis Kantor)Memiliki kemampuan negosiasi dan komunikatifMemiliki kemampuan organisasi dan perencanaan Memiliki kemampuan administratifBerpengalaman diutamakanFreshgraduate dipersilahkan melamarMau belajar dan bekerja dengan timJujur, disiplin dan bertanggung jawab terhadap pekerjaan yang dilakukan dan bersedia bekerja dibawah tekananMinimal mempunyai SIM CPenempatan di Sleman, DIYTugas dan Tanggung Jawab:Mengurus pengadaan kebutuhan operasionalMelakukan pembayaran dan pemeliharaanMelakukan kontrol terhadap pemeliharaan dan perawatan aset perusahaanMembuat laporan secara berkalaMenjaga fasilitas perusahaanMenjaga doumen perusahaanBerkas lamaran:Surat LamaranCVScan Ijazah terkahirScan transkrip nilaiFoto ukuran 3x4Berkas pendukung lainnyaPersyaratan minimum:Mencari kandidat yang bisa bekerja pada hari kerja dan hari SabtuDiperlukan 1 tahun pengalaman kerja yang relevan untuk posisi iniPelamar harus memiliki KTPPersyaratan minimum:Tersedia jam fleksibelDiperlukan 1 tahun pengalaman kerja yang relevan untuk posisi iniPelamar harus memiliki KTP","1 hari yang lalu",https://id.jobstreetexpress.com//job/Admin-31cdcf77c7466e1a97a52d6473c8e686?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=42cdf1cc-93bc-4d16-862a-60512f1ce6dd&sp=serp&sponsored=false&sq=&sr=88&tk=zsNizCAVEh2aaDEmHGCq-OX22zCp6xJUQUouEvGds&trigger_source=serp
"PT. Svarna Dipa",Admin,Banten,"Tanpa pengalaman kerja","Tanpa pengalaman kerja","Deskripsi Pekerjaan :Menyimpan catatan karyawan baik fisik maupun digitalMelakukan perawatan arsip data pelanggan maupun mitra eksternalMendistribusikan surat masuk dan keluarMenjaga catatan arsip karyawan baik dalam bentuk fisik maupun digitalMenyiapkan laporan dan presentasi rutinMengatur, menyimpan dan mencetak dokumen perusahaan sesuai dengan kebutuhanMenjawab dan mengalihkan panggilan teleponMengatur perjalanan bisnisMengupdate kebijakan kantorPersyaratan Pekerjaan :Memiliki pengetahuan mengenai kebijakan dan prosedur kantorBerpengalaman dalam menggunakan MS OfficeMemiliki keterampilan organisasi dan manajemen waktu yang baikMemiliki kemampuan komunikasi yang baik dalam verbal dan tulisanMemiliki atensi yang baik terhadap detail dan selalu berupaya untuk menyelesaikan masalahSMK/SMA atau tingkat pendidikan yang lebih tinggi, dan memiliki kualifikasi sebagai staff administrasi, atau sekretaris adalah nilai plusPersyaratan minimum:Mencari kandidat untuk bekerja pada:Senin: Pagi, SiangSelasa: Pagi, SiangRabu: Pagi, SiangKamis: Pagi, SiangJum'at: Pagi, SiangSabtu: Siang, PagiTidak diperlukan pengalaman kerja untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 29 April 2024","4 hari yang lalu",https://id.jobstreetexpress.com//job/Admin-4c7c1f28ed1997d674f17cf3b954007a?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=42cdf1cc-93bc-4d16-862a-60512f1ce6dd&sp=serp&sponsored=false&sq=&sr=89&tk=zsNizCAVEh2aaDEmHGCq-OX22zCp6xJUQUouEvGds&trigger_source=serp
"CV. Favorite",Produksi,Bali,"Tanpa pengalaman kerja","Tanpa pengalaman kerja","Dibutuhkan Staf Produksi dengan kreteria sebagai berikut :1. Bisa bekerjasama dengan team2. Mempunyai Inisiative dan kreativitas kerja3. Loyalitas waktu kerja4. Mampu bekerja sesuai kebutuhan perusahaanPersyaratan minimum:Tersedia jam fleksibelTidak diperlukan pengalaman kerja untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 05 May 2024","1 hari yang lalu",https://id.jobstreetexpress.com//job/Produksi-dc929ad9b7e2c3306aea9c25e641a99a?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=42cdf1cc-93bc-4d16-862a-60512f1ce6dd&sp=serp&sponsored=false&sq=&sr=90&tk=zsNizCAVEh2aaDEmHGCq-OX22zCp6xJUQUouEvGds&trigger_source=serp
"PT. MATA MARUTI SUKSES","Sales Counter Optik","Kaja, Bali","Tanpa pengalaman kerja",,"Job Description :Memberikan pelayanan terbaik kepada pelanggan Berorientasi pada penjualan produk tokomemberi informasi atau arahan tentang kacamata dan lensa yang cocok kepada pelanggan Melakukan pemeriksaan mata menggunakan alat refraksi Menjaga hubungan baik antara calon atau pelanggan, rekan kerja, dan pimpinanKualifikasi : ·      Pendidikan Min SMA/SMK·       Siap bekerja dengan sistem target, secara team dan shifting·       Berdomisili Denpasar dan sekitarnya·       Aktif, komunikatif, paham handilling customer, skill selling·       Jujur dan bertanggungjawab·       Bersedia untuk dimutasi        Dapat Bergabung Secepatnya        Berpengalaman sebagai sales counter optik menjadi nilai plus Benefit : Gaji dan Bonus penjualan yang menarik, BPJS Kesehatan, BPJS Tenaga Kerja, THR, Cuti Tahunan Silahkan apply kuota terbatas Persyaratan minimum:Mencari kandidat untuk bekerja pada:Senin: Pagi, Siang, SoreSelasa: Pagi, Siang, SoreRabu: Pagi, Siang, SoreKamis: Pagi, Siang, SoreJum'at: Pagi, Siang, SoreSabtu: Pagi, Siang, SoreMinggu: Pagi, Siang, SoreDiperlukan 1 tahun pengalaman kerja yang relevan untuk posisi iniPelamar harus memiliki KTP","5 hari yang lalu",https://id.jobstreetexpress.com//job/Counter-ad7a06099d95aad192a2dfdbd355388e?abstract_type=original&fsv=true&sfjt=&sl=&sp=sserp_bottom&sponsored=true&sq=&sr=83&tk=zsNizCAVEh2aaDEmHGCq-OX22zCp6xJUQUouEvGds&trigger_source=serp
Ristation,"Operator Printing","Kelurahan Tunjungsekar, Jawa Timur","Rp900.000 - Rp1.000.000 per bulan","Part time","Lowongan Kerja Part Time di Ristation.id, Kota Malang:Posisi: Operator Printing dan Toko (Part Time)Tanggung Jawab:- Mengoperasikan software komputer seperti Corel Draw, Photoshop, dll.- Melakukan produksi printing sesuai dengan spesifikasi orderan.- Bertanggung jawab atas pengemasan produk hasil produksi.- Input data orderan ke dalam sistem.Kualifikasi:- Latar belakang pendidikan SMK atau mahasiswa dengan keahlian dalam desain grafis.- Mampu mengoperasikan software desain seperti Corel Draw dan Photoshop.- Minat dan kemampuan di bidang printing.- Teliti dan cekatan dalam melakukan tugas-tugas produksi.- Batas usia 29 tahun- Fleksibel untuk bekerja part time.Benefit:-Tunjangan transport-Bebas pilih waktu kerja-Jam kerja 4-5 JamMohon untuk juga mencantumkan Portfolio Saat mengupload CV.Persyaratan minimum:Mencari kandidat untuk bekerja pada:Senin: Pagi, SiangSelasa: Pagi, SiangRabu: Pagi, SiangKamis: Pagi, SiangJum'at: Pagi, SiangSabtu: Pagi, SiangMinggu: Pagi, SiangTidak diperlukan pengalaman kerja untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 13 May 2024Gaji yang diinginkan: Rp900,000 - Rp1,000,000 per bulan","10 hari yang lalu",https://id.jobstreetexpress.com//job/Operator-Printing-9bff74d8e495da1e544921ef96fde422?abstract_type=original&fsv=true&sfjt=&sl=&sp=sserp_bottom&sponsored=true&sq=&sr=84&tk=zsNizCAVEh2aaDEmHGCq-OX22zCp6xJUQUouEvGds&trigger_source=serp
Amisewaka,"Business Manager","Les, Bali","Tanpa pengalaman kerja",,"1. Strategic Planning: Develop and implement strategic plans to achieve business goals, including revenue growth, community engagement, and social impact goals.2. Financial Management: Manage budgets, financial projections, and cash flow to ensure the company's financial health. Analyze and create financial statements and identify areas that need improvement.3. Operational Management: Carry out and evaluate the daily operations of restaurants, AmiMart, fish/condiment canneries,. Ensure efficient workflows, high-quality services, and compliance with health and safety regulations.4. Team Leadership: Recruit, train, and guide staff in various departments. Build a positive work environment and promote teamwork.5. Customer Relations: Maintain good customer relations and uphold the company's reputation for outstanding service and quality products. Respond to customer feedback and resolve issues quickly.6. Marketing and Sales: Develop marketing strategies to attract customers and increase sales in all business segments. Provide exceptional services and experiences and utilize online and offline channels to promote the company and increase revenue.7. Supply Chain Management: Manage inventory levels, procurement, and supplier relationships to ensure efficient operations and minimize costs.8. Community Involvement: Building relationships with local businesses and communities, including community organizations, government agencies, and suppliers. Looking for cooperation opportunities to support the company's social mission.9. Compliance and Risk Management: Ensure compliance with all relevant laws and regulations, including food safety standards, labor laws, and environmental regulations. Identify and mitigate business risks.10. Target Achievement. Able to meet the sales targets that have been set as much as possible, including being able to calculate carefully if there is an evaluation of targets according to situations and conditions11. Cooperation. Able to carry out good and close cooperation at the internal structure and external level with other entities including the opening of extensive cooperation with external parties both locally, nationally and internationally by adjusting business capacity12. Reporting. Carry out periodic reporting activities with established standards and methods13. Evaluation management.Always make evaluation studies that are right on target and effective by paying attention to aspects of program achievement and targets for consideration in the futureQualification:· Bachelor's Degree in Business Administration, Hospitality Management, Accounting, Management, Economic Sciences or related field· Preferably experienced proven in business management, preferably in the tourism and hospitality industry sector or social enterprises.· Strong leadership skills with the ability to motivate and inspire teams.· Excellent communication, negotiation, and interpersonal skills.· Financial literacy and experience in budget planning, financial analysis, and financial reporting.· Mastery of Microsoft Office Suite and other relevant software applications.· Knowledge of social enterprise principles and commitment to the mission of the business .· English and other foreign languages· Have marketing experience· Minimum 3 years experience· Have a Leadership Spirit· The ability to perform several tasks at once, prioritize responsibility, and adapt to environmental changes.· Certification in food safety and/or hospitality management is a plus. Persyaratan minimum:Mencari kandidat untuk bekerja pada:Senin: PagiSelasa: PagiRabu: PagiKamis: PagiJum'at: PagiDiperlukan 2-3 tahun pengalaman kerja yang relevan untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 02 May 2024","7 hari yang lalu",https://id.jobstreetexpress.com//job/Business-Manager-0e76d1ea3f953a26b9be39839e965082?abstract_type=original&fsv=true&sfjt=&sl=&sp=sserp_bottom&sponsored=true&sq=&sr=85&tk=zsNizCAVEh2aaDEmHGCq-OX22zCp6xJUQUouEvGds&trigger_source=serp
"Joel Concept Inspiration",Marketing,"Sari, Jawa Timur","Tanpa pengalaman kerja",,"berusia maximal 25 tahun , jujur teliti ,  mau bekerja keras , bertanggung jawab , bersedia bekerja secara team , mampu berkomunikasi dengan baik kepada customer , mempunyai pengalaman sebagai marketing, domisili surabayaPersyaratan minimum:Mencari kandidat untuk bekerja pada:Senin: PagiSelasa: PagiRabu: PagiKamis: PagiJum'at: PagiSabtu: PagiMinggu: PagiDiperlukan 1 tahun pengalaman kerja yang relevan untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 25 April 2024","10 hari yang lalu",https://id.jobstreetexpress.com//job/Marketing-d053ff7ce0ff3369c5f6ac71e2b5d6ce?abstract_type=original&fsv=true&sfjt=&sl=&sp=sserp_top&sponsored=true&sq=&sr=91&tk=zsNizCAVEh2aaDEmHGCq-IQ988gD6MZG6QgJAw2tG&trigger_source=serp
"PT Graha Alam Sempurna","Marketing Manager","Wiyung, Jawa Timur","Tanpa pengalaman kerja",,"Fluent in EnglishBachelor's degre in Marketing or Management Good bussiness networking and relationshipTarget Oriented Having experience in marketing manager minimum of 3 yearHave a good motivating and good visionExcellent in marketing advertising and promotionGood analytic and strategic thinking skilsstrong proven leadershipStrong consumer insight and knowledgePersyaratan minimum:Tersedia jam fleksibelDiperlukan 2-3 tahun pengalaman kerja yang relevan untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 16 May 2024","10 hari yang lalu",https://id.jobstreetexpress.com//job/Marketing-Manager-fc067a9a368c23107f165e272701312c?abstract_type=original&fsv=true&sfjt=&sl=&sp=sserp_top&sponsored=true&sq=&sr=92&tk=zsNizCAVEh2aaDEmHGCq-IQ988gD6MZG6QgJAw2tG&trigger_source=serp
